Work directory is: /afs/cern.ch/work/e/egraveri/public/SHiP/HNL-Sensitivity-batch/sandbox
Scanning model 3...
Loaded 13256 previous data points.
Scanning number of events on 149854 phase-space points
Point 51500 of 149854: 	 log10(mass) -0.38 	 log10(U2) -7.8 		 Events: 0.39
Point 51750 of 149854: 	 log10(mass) -0.38 	 log10(U2) -7.4 		 Events: 3.9
Point 52000 of 149854: 	 log10(mass) -0.38 	 log10(U2) -6.9 		 Events: 39.0
Point 52250 of 149854: 	 log10(mass) -0.38 	 log10(U2) -6.5 		 Events: 260.0
Point 52500 of 149854: 	 log10(mass) -0.37 	 log10(U2) -6.0 		 Events: 1800.0
Point 52750 of 149854: 	 log10(mass) -0.37 	 log10(U2) -9.1 		 Events: 0.0011
Point 53000 of 149854: 	 log10(mass) -0.37 	 log10(U2) -8.7 		 Events: 0.01
Point 53250 of 149854: 	 log10(mass) -0.36 	 log10(U2) -8.2 		 Events: 0.057
Point 53500 of 149854: 	 log10(mass) -0.36 	 log10(U2) -7.8 		 Events: 0.5
Point 53750 of 149854: 	 log10(mass) -0.36 	 log10(U2) -7.4 		 Events: 3.5
Point 54000 of 149854: 	 log10(mass) -0.36 	 log10(U2) -7.0 		 Events: 36.0
Point 54250 of 149854: 	 log10(mass) -0.36 	 log10(U2) -6.5 		 Events: 250.0
Point 54500 of 149854: 	 log10(mass) -0.35 	 log10(U2) -6.1 		 Events: 1300.0
Point 54750 of 149854: 	 log10(mass) -0.35 	 log10(U2) -9.3 		 Events: 0.00072
Point 55000 of 149854: 	 log10(mass) -0.35 	 log10(U2) -8.9 		 Events: 0.0056
Point 55250 of 149854: 	 log10(mass) -0.34 	 log10(U2) -8.5 		 Events: 0.031
Point 55500 of 149854: 	 log10(mass) -0.34 	 log10(U2) -8.1 		 Events: 0.21
Point 55750 of 149854: 	 log10(mass) -0.34 	 log10(U2) -7.6 		 Events: 1.5
Point 56000 of 149854: 	 log10(mass) -0.34 	 log10(U2) -7.2 		 Events: 7.9
Point 56250 of 149854: 	 log10(mass) -0.33 	 log10(U2) -6.8 		 Events: 59.0
Point 56500 of 149854: 	 log10(mass) -0.33 	 log10(U2) -6.4 		 Events: 360.0
Point 56750 of 149854: 	 log10(mass) -0.33 	 log10(U2) -9.6 		 Events: 0.00022
Point 57000 of 149854: 	 log10(mass) -0.32 	 log10(U2) -9.3 		 Events: 0.00088
Point 57250 of 149854: 	 log10(mass) -0.32 	 log10(U2) -8.9 		 Events: 0.0069
Point 57500 of 149854: 	 log10(mass) -0.32 	 log10(U2) -8.5 		 Events: 0.04
Point 57750 of 149854: 	 log10(mass) -0.32 	 log10(U2) -8.1 		 Events: 0.2
Point 58000 of 149854: 	 log10(mass) -0.31 	 log10(U2) -7.7 		 Events: 1.5
Point 58250 of 149854: 	 log10(mass) -0.31 	 log10(U2) -7.3 		 Events: 9.0
Point 58500 of 149854: 	 log10(mass) -0.31 	 log10(U2) -7.0 		 Events: 53.0
Point 58750 of 149854: 	 log10(mass) -0.31 	 log10(U2) -6.6 		 Events: 240.0
Point 59000 of 149854: 	 log10(mass) -0.31 	 log10(U2) -6.2 		 Events: 1600.0
Point 59250 of 149854: 	 log10(mass) -0.3 	 log10(U2) -9.5 		 Events: 0.00059
Point 59500 of 149854: 	 log10(mass) -0.3 	 log10(U2) -9.1 		 Events: 0.0028
Point 59750 of 149854: 	 log10(mass) -0.3 	 log10(U2) -8.8 		 Events: 0.015
Point 60000 of 149854: 	 log10(mass) -0.29 	 log10(U2) -8.4 		 Events: 0.053
Point 60250 of 149854: 	 log10(mass) -0.29 	 log10(U2) -8.1 		 Events: 0.35
Point 60500 of 149854: 	 log10(mass) -0.29 	 log10(U2) -7.7 		 Events: 2.2
Point 60750 of 149854: 	 log10(mass) -0.29 	 log10(U2) -7.4 		 Events: 8.4
Point 61000 of 149854: 	 log10(mass) -0.28 	 log10(U2) -7.0 		 Events: 39.0
Point 61250 of 149854: 	 log10(mass) -0.28 	 log10(U2) -6.7 		 Events: 250.0
Point 61500 of 149854: 	 log10(mass) -0.28 	 log10(U2) -6.3 		 Events: 1200.0
Point 61750 of 149854: 	 log10(mass) -0.27 	 log10(U2) -9.7 		 Events: 0.00023
Point 62000 of 149854: 	 log10(mass) -0.27 	 log10(U2) -9.3 		 Events: 0.0011
Point 62250 of 149854: 	 log10(mass) -0.27 	 log10(U2) -9.0 		 Events: 0.0049
Point 62500 of 149854: 	 log10(mass) -0.27 	 log10(U2) -8.7 		 Events: 0.029
Point 62750 of 149854: 	 log10(mass) -0.26 	 log10(U2) -8.4 		 Events: 0.09
Point 63000 of 149854: 	 log10(mass) -0.26 	 log10(U2) -8.0 		 Events: 0.7
Point 63250 of 149854: 	 log10(mass) -0.26 	 log10(U2) -7.7 		 Events: 2.6
Point 63500 of 149854: 	 log10(mass) -0.26 	 log10(U2) -7.4 		 Events: 10.0
Point 63750 of 149854: 	 log10(mass) -0.26 	 log10(U2) -7.1 		 Events: 52.0
Point 64000 of 149854: 	 log10(mass) -0.25 	 log10(U2) -6.8 		 Events: 190.0
Point 64250 of 149854: 	 log10(mass) -0.25 	 log10(U2) -6.5 		 Events: 930.0
Point 64500 of 149854: 	 log10(mass) -0.25 	 log10(U2) -9.9 		 Events: 0.00017
Point 64750 of 149854: 	 log10(mass) -0.24 	 log10(U2) -9.6 		 Events: 0.00041
Point 65000 of 149854: 	 log10(mass) -0.24 	 log10(U2) -9.3 		 Events: 0.0024
Point 65250 of 149854: 	 log10(mass) -0.24 	 log10(U2) -9.0 		 Events: 0.0092
Point 65500 of 149854: 	 log10(mass) -0.24 	 log10(U2) -8.7 		 Events: 0.037
Point 65750 of 149854: 	 log10(mass) -0.23 	 log10(U2) -8.4 		 Events: 0.14
Point 66000 of 149854: 	 log10(mass) -0.23 	 log10(U2) -8.1 		 Events: 0.44
Point 66250 of 149854: 	 log10(mass) -0.23 	 log10(U2) -7.8 		 Events: 1.6
Point 66500 of 149854: 	 log10(mass) -0.23 	 log10(U2) -7.5 		 Events: 7.2
Point 66750 of 149854: 	 log10(mass) -0.22 	 log10(U2) -7.3 		 Events: 30.0
Point 67000 of 149854: 	 log10(mass) -0.22 	 log10(U2) -7.0 		 Events: 110.0
Point 67250 of 149854: 	 log10(mass) -0.22 	 log10(U2) -6.7 		 Events: 340.0
Point 67500 of 149854: 	 log10(mass) -0.22 	 log10(U2) -6.5 		 Events: 1200.0
Point 67750 of 149854: 	 log10(mass) -0.21 	 log10(U2) -9.9 		 Events: 0.00013
Point 68000 of 149854: 	 log10(mass) -0.21 	 log10(U2) -9.7 		 Events: 0.00051
Point 68250 of 149854: 	 log10(mass) -0.21 	 log10(U2) -9.4 		 Events: 0.0018
Point 68500 of 149854: 	 log10(mass) -0.21 	 log10(U2) -9.2 		 Events: 0.0063
Point 68750 of 149854: 	 log10(mass) -0.2 	 log10(U2) -8.9 		 Events: 0.018
Point 69000 of 149854: 	 log10(mass) -0.2 	 log10(U2) -8.6 		 Events: 0.055
Point 69250 of 149854: 	 log10(mass) -0.2 	 log10(U2) -8.4 		 Events: 0.2
Point 69500 of 149854: 	 log10(mass) -0.2 	 log10(U2) -8.2 		 Events: 0.59
Point 69750 of 149854: 	 log10(mass) -0.19 	 log10(U2) -7.9 		 Events: 1.8
Point 70000 of 149854: 	 log10(mass) -0.19 	 log10(U2) -7.7 		 Events: 5.8
Point 70250 of 149854: 	 log10(mass) -0.19 	 log10(U2) -7.4 		 Events: 22.0
